cod_transacao;num_conta;data_transacao;nome_transacao;valor_transacao
44691;898;2016-03-06 01:38:20 UTC;TED - Realizado;-66480
46893;197;2022-12-29 23:59:59.999678 UTC;DOC - Realizado;-65110
13721;780;2018-06-13 19:15:46 UTC;Compra Crédito;-64828
15296;700;2019-08-28 21:09:40 UTC;TED - Realizado;-63830
44376;225;2022-12-29 23:57:33 UTC;DOC - Realizado;-63310
48672;386;2020-02-24 14:51:04 UTC;Compra Débito;-62748
24631;735;2013-11-30 07:35:53 UTC;TED - Realizado;-62740
62808;31;2022-04-30 06:40:54 UTC;Compra Crédito;-62158
5132;800;2015-11-09 11:58:36 UTC;Compra Débito;-62087
63538;240;2022-12-29 23:59:59.755452 UTC;Compra Débito;-61631
21084;708;2021-07-10 12:43:46 UTC;Compra Crédito;-61507
34125;697;2014-12-25 16:22:12 UTC;TED - Realizado;-60960
37983;754;2022-12-29 23:59:59.913925 UTC;Pagamento de boleto;-60692
28759;810;2020-03-16 22:14:23 UTC;DOC - Realizado;-59410
40803;353;2022-12-13 01:06:51 UTC;Compra Débito;-59403
55015;413;2022-09-30 19:26:44 UTC;Pix - Realizado;-59299
12314;615;2022-01-17 22:15:21 UTC;TED - Realizado;-59220
13103;600;2021-03-20 14:41:25 UTC;Compra Crédito;-59165
19273;781;2015-05-07 01:01:06 UTC;Compra Crédito;-58626
62219;416;2023-01-01 20:22:28.327229 UTC;TED - Realizado;-58460
22825;192;2021-02-26 14:08:45 UTC;Compra Débito;-58161
59351;534;2022-10-22 10:48:02 UTC;Compra Crédito;-57746
55387;608;2019-06-14 13:07:30 UTC;Compra Crédito;-57478
48969;877;2018-03-11 14:36:23 UTC;Compra Crédito;-57087
12586;949;2016-08-29 14:34:57 UTC;Compra Crédito;-56877
42183;254;2013-06-14 20:32:07 UTC;Pagamento de boleto;-56224
29616;738;2022-10-16 02:31:38 UTC;TED - Realizado;-56080
63989;312;2022-12-29 23:59:59.336745 UTC;Compra Crédito;-56031
68176;506;2022-11-05 15:25:02 UTC;Compra Crédito;-55357
68708;628;2022-12-30 00:00:00.295115 UTC;Pix - Realizado;-55215
66853;911;2022-12-29 23:59:59.1888 UTC;Compra Crédito;-54802
65400;168;2022-07-02 10:01:46 UTC;Compra Crédito;-53746
57136;596;2022-12-29 23:59:59.651914 UTC;Compra Crédito;-53698
62409;596;2022-12-29 23:59:59.066044 UTC;Pix - Realizado;-53663
62216;54;2022-12-29 23:59:59.89559 UTC;Compra Débito;-53326
41823;862;2019-08-18 16:35:41 UTC;DOC - Realizado;-53210
27625;182;2021-07-04 18:44:07 UTC;Compra Débito;-53203
32668;383;2017-08-31 05:57:31 UTC;TED - Realizado;-52960
16023;572;2022-12-04 13:10:54 UTC;Compra Crédito;-52914
58461;929;2021-12-02 11:47:06 UTC;Compra Crédito;-52618
51647;544;2021-06-03 23:04:56 UTC;Pix - Realizado;-52346
17233;596;2022-12-29 02:14:20 UTC;Compra Débito;-52299
23933;259;2022-06-23 16:18:22 UTC;Compra Débito;-51873
61979;715;2022-12-30 00:00:00.070446 UTC;Compra Crédito;-51854
69464;475;2022-12-29 23:59:59.620832 UTC;TED - Realizado;-51550
21003;111;2022-07-07 16:33:26 UTC;Compra Crédito;-51544
33060;915;2019-06-16 09:50:21 UTC;Compra Débito;-51182
26461;807;2022-12-29 23:59:51 UTC;Compra Débito;-51092
4097;529;2020-04-25 22:22:05 UTC;Compra Débito;-50994
60157;635;2022-12-30 00:00:00.57191 UTC;Pix - Realizado;-50844
48334;483;2022-12-30 00:00:00.066886 UTC;Pix - Realizado;-50807
48227;397;2022-10-25 14:21:34 UTC;DOC - Realizado;-50600
30098;485;2019-02-16 02:43:22 UTC;TED - Realizado;-50600
53386;116;2020-01-02 10:11:19 UTC;Compra Crédito;-50375
28979;762;2022-12-29 23:52:51 UTC;Pagamento de boleto;-50294
12502;560;2021-03-22 03:41:40 UTC;Compra Crédito;-50172
68312;342;2022-12-27 20:23:50 UTC;Compra Débito;-50106
38012;892;2017-11-19 17:34:34 UTC;Compra Débito;-50084
10005;379;2021-10-20 06:36:32 UTC;Compra Crédito;-49985
30271;429;2022-11-18 17:35:24 UTC;Pix - Realizado;-49926
57002;531;2022-09-12 18:37:38 UTC;Compra Crédito;-49782
6331;199;2019-02-12 19:54:57 UTC;Compra Crédito;-49674
21548;840;2018-11-20 00:28:37 UTC;Compra Crédito;-49669
50106;196;2019-07-14 18:55:15 UTC;Compra Débito;-49585
33590;573;2022-12-29 23:58:19 UTC;Compra Crédito;-49474
65817;954;2020-02-17 23:50:07 UTC;Compra Crédito;-49461
65969;445;2022-12-28 05:37:40 UTC;Compra Crédito;-49344
46656;564;2017-04-19 06:49:50 UTC;Compra Crédito;-49162
71125;516;2022-12-30 00:00:00.848832 UTC;Compra Débito;-49059
31884;592;2018-11-02 20:39:06 UTC;DOC - Realizado;-49010
23796;681;2019-10-13 05:25:31 UTC;Compra Crédito;-48784
47611;310;2022-12-29 23:43:47 UTC;Pix - Realizado;-48009
63250;849;2022-12-30 00:00:00.300913 UTC;TED - Realizado;-47970
15241;837;2014-07-24 12:00:13 UTC;DOC - Realizado;-47660
3267;724;2019-09-10 19:24:13 UTC;Compra Débito;-47347
33690;648;2022-12-30 00:00:00.8354 UTC;Pix - Realizado;-47345
57989;183;2022-04-30 17:13:42 UTC;Pix - Realizado;-47334
40061;342;2020-03-17 17:56:42 UTC;TED - Realizado;-47300
19835;444;2022-12-30 00:00:00.707754 UTC;Compra Crédito;-47294
40047;485;2019-05-03 18:04:22 UTC;Compra Débito;-47238
29463;518;2021-02-14 11:38:57 UTC;Pix - Realizado;-47084
27362;96;2022-12-29 23:59:20 UTC;Compra Débito;-47022
56080;85;2019-09-03 00:39:26 UTC;Compra Débito;-46976
5655;53;2011-07-07 18:08:11 UTC;Compra Crédito;-46969
20610;285;2022-12-21 07:04:28 UTC;Pix - Realizado;-46875
68156;509;2016-01-16 11:45:09 UTC;Pagamento de boleto;-46836
30902;157;2020-07-14 08:47:32 UTC;TED - Realizado;-46790
46385;132;2022-12-30 00:00:00.822566 UTC;Pix - Realizado;-46633
60385;21;2022-09-15 13:13:05 UTC;DOC - Realizado;-46490
58864;141;2014-11-19 10:15:25 UTC;Compra Crédito;-46326
48509;677;2019-02-27 22:52:08 UTC;TED - Realizado;-46280
40093;858;2019-07-21 21:43:36 UTC;DOC - Realizado;-46070
66795;318;2022-12-29 23:59:59.47423 UTC;Compra Débito;-46065
64420;332;2022-12-30 00:00:00.294302 UTC;Pix - Realizado;-46014
47624;750;2020-06-29 05:07:37 UTC;Compra Crédito;-45772
57500;255;2022-12-30 00:00:00.350659 UTC;Compra Crédito;-45499
59498;583;2022-12-29 23:59:57 UTC;Compra Crédito;-45472
14283;88;2022-12-22 21:31:07 UTC;Compra Débito;-45362
39597;352;2022-12-29 23:59:59.818496 UTC;Compra Débito;-45284
50095;64;2020-11-18 15:36:57 UTC;Pix - Realizado;-45269
37114;498;2020-11-10 09:02:07 UTC;DOC - Realizado;-45230
51313;212;2022-11-24 15:41:44 UTC;Compra Crédito;-44945
13771;122;2017-04-27 20:23:32 UTC;Compra Crédito;-44828
22407;773;2019-12-02 22:19:12 UTC;Compra Débito;-44819
49425;173;2022-12-29 23:59:59.909918 UTC;Compra Débito;-44553
21242;87;2020-08-30 17:17:41 UTC;Compra Crédito;-44496
62657;842;2022-12-30 00:00:00.604531 UTC;Compra Crédito;-44381
70610;219;2022-12-30 00:00:00.69418 UTC;Compra Crédito;-44306
57812;542;2022-12-30 00:00:00.054822 UTC;Compra Débito;-44251
25034;627;2022-02-24 09:39:24 UTC;Compra Débito;-44171
58126;75;2020-09-02 07:36:57 UTC;Compra Crédito;-44145
19626;450;2020-08-19 18:50:45 UTC;Compra Crédito;-44095
66110;742;2022-11-28 02:30:27 UTC;Compra Crédito;-44046
58224;553;2022-11-29 00:37:54 UTC;Pix - Realizado;-43983
52212;828;2022-12-30 00:00:00.072764 UTC;Compra Débito;-43953
67029;796;2022-07-23 15:11:49 UTC;Compra Débito;-43946
67855;491;2022-12-29 23:59:59.29766 UTC;Compra Crédito;-43883
55443;232;2020-04-30 19:01:02 UTC;Compra Débito;-43793
37980;983;2022-12-29 23:56:06 UTC;Compra Débito;-43653
28398;450;2020-09-03 22:36:56 UTC;Compra Crédito;-43626
66972;618;2020-03-11 06:46:01 UTC;Compra Crédito;-43591
52100;260;2022-01-17 06:24:41 UTC;Compra Crédito;-43552
1490;460;2014-03-12 02:46:36 UTC;Compra Débito;-43507
2721;20;2021-06-13 16:53:56 UTC;Compra Crédito;-43442
42510;729;2022-12-02 18:35:18 UTC;Compra Débito;-43441
65468;990;2021-09-20 13:06:33 UTC;TED - Realizado;-43330
15349;198;2017-05-23 17:53:16 UTC;Pagamento de boleto;-43326
5300;460;2020-08-29 15:16:59 UTC;Compra Crédito;-43204
48671;334;2022-12-30 00:00:00.851002 UTC;Compra Débito;-43174
6645;52;2022-09-22 08:34:36 UTC;Compra Débito;-43171
61907;646;2022-12-26 07:55:27 UTC;Pix - Realizado;-43144
33933;928;2023-01-08 18:51:04.295474 UTC;Compra Crédito;-43135
32479;362;2021-06-08 20:58:12 UTC;TED - Realizado;-43090
32047;233;2017-05-24 07:28:50 UTC;Compra Crédito;-42903
53930;193;2022-12-27 13:00:41 UTC;Compra Crédito;-42863
29428;245;2022-06-14 01:01:31 UTC;Compra Débito;-42799
22827;589;2019-08-07 00:59:48 UTC;Compra Crédito;-42789
68271;23;2022-12-29 23:56:40 UTC;Pix - Realizado;-42766
9423;236;2020-07-03 14:51:08 UTC;Compra Débito;-42746
68275;85;2022-12-11 09:49:24 UTC;TED - Realizado;-42740
55591;197;2022-12-29 23:59:59.605691 UTC;Pix - Realizado;-42635
59815;108;2022-12-29 23:59:59.582188 UTC;Pix - Realizado;-42606
65141;930;2022-11-11 04:52:35 UTC;Compra Débito;-42588
50911;696;2022-12-29 23:59:59.597613 UTC;Compra Crédito;-42549
36873;856;2017-06-01 04:35:01 UTC;Compra Débito;-42542
57937;607;2018-08-25 01:08:21 UTC;Compra Débito;-42457
40684;245;2022-07-20 02:21:23 UTC;Pix - Realizado;-42359
10749;467;2018-03-28 09:29:16 UTC;DOC - Realizado;-42350
63653;134;2016-12-23 19:47:14 UTC;Pagamento de boleto;-42318
49714;756;2022-12-30 00:00:00.764287 UTC;Pagamento de boleto;-42236
35875;135;2017-06-14 02:59:43 UTC;Compra Crédito;-42176
25722;152;2021-03-30 08:09:50 UTC;Compra Débito;-42167
9705;399;2018-12-11 23:17:12 UTC;Compra Crédito;-42025
27773;974;2015-04-30 21:34:10 UTC;Compra Débito;-41995
38296;645;2022-12-29 14:26:17 UTC;Pix - Realizado;-41856
58750;180;2022-12-29 23:59:59.149016 UTC;TED - Realizado;-41830
9395;669;2017-06-24 23:51:31 UTC;Pagamento de boleto;-41802
41686;868;2022-12-30 00:00:00.78902 UTC;Compra Débito;-41731
20016;185;2011-10-13 07:19:45 UTC;Compra Débito;-41713
45236;639;2022-05-06 08:10:23 UTC;Pix - Realizado;-41593
34414;341;2022-03-19 09:17:59 UTC;Compra Crédito;-41566
16081;911;2013-03-31 00:35:12 UTC;Compra Crédito;-41554
68533;948;2022-12-29 23:59:44 UTC;Compra Crédito;-41305
39115;585;2022-12-30 00:00:00.22854 UTC;Compra Crédito;-41289
51517;862;2021-08-30 16:39:47 UTC;Compra Crédito;-41201
18112;562;2022-02-16 20:44:14 UTC;Pix - Realizado;-41192
35348;178;2022-12-29 23:53:13 UTC;Compra Débito;-41186
60213;943;2022-12-30 00:00:00.847992 UTC;Compra Débito;-41138
23746;998;2014-07-09 21:59:29 UTC;Compra Débito;-41109
39841;586;2022-10-09 15:37:39 UTC;Compra Crédito;-41072
30312;164;2018-11-05 07:18:31 UTC;Compra Débito;-40572
43910;506;2019-11-01 11:02:08 UTC;Compra Crédito;-40556
29977;235;2019-08-06 20:39:38 UTC;Compra Débito;-40536
5397;25;2022-10-08 09:55:56 UTC;Pix - Realizado;-40525
69681;377;2022-12-29 23:59:59.552497 UTC;Pagamento de boleto;-40496
40963;183;2021-01-17 10:31:06 UTC;Compra Crédito;-40484
57480;598;2022-12-30 00:00:00.407914 UTC;Compra Crédito;-40453
20689;14;2022-10-27 19:56:59 UTC;Compra Débito;-40443
27962;915;2019-06-09 20:54:29 UTC;Compra Crédito;-40406
53408;646;2022-11-06 18:27:45 UTC;Pix - Realizado;-40402
53799;614;2018-06-19 14:52:49 UTC;TED - Realizado;-40350
40637;687;2022-12-29 23:59:59.922473 UTC;Compra Crédito;-40288
51863;618;2019-11-15 20:41:45 UTC;Compra Débito;-40188
44002;268;2021-05-01 04:49:09 UTC;Pix - Realizado;-40118
44585;515;2022-12-29 23:17:59 UTC;Compra Crédito;-39997
18431;564;2016-01-10 21:23:30 UTC;Compra Débito;-39972
53967;126;2021-08-05 03:19:57 UTC;Compra Crédito;-39848
51182;78;2022-12-29 23:59:38 UTC;Pix - Realizado;-39832
34556;310;2021-07-04 00:07:58 UTC;Compra Débito;-39741
29081;265;2020-02-20 10:16:00 UTC;Compra Débito;-39698
69109;594;2022-11-25 18:13:49 UTC;Compra Crédito;-39647
68391;395;2022-12-30 00:00:00.281254 UTC;Compra Débito;-39629
48474;744;2021-06-22 17:28:17 UTC;Compra Débito;-39607
43715;324;2022-12-29 23:50:42 UTC;Pix - Realizado;-39601
25860;413;2021-01-14 20:27:53 UTC;Pix - Realizado;-39596
64409;129;2019-06-29 09:56:12 UTC;Compra Débito;-39595
37948;483;2022-12-30 00:00:00.522563 UTC;Compra Crédito;-39496
35728;118;2022-12-29 23:58:13 UTC;Compra Crédito;-39459
38215;529;2022-10-28 02:22:41 UTC;Pix - Realizado;-39407
47947;589;2020-03-08 00:38:59 UTC;Compra Crédito;-39379
11030;697;2013-06-25 05:57:16 UTC;Compra Crédito;-39232
2345;594;2019-12-06 12:28:06 UTC;Compra Débito;-39181
20680;117;2022-12-29 23:56:34 UTC;Pix - Realizado;-39045
27775;722;2022-12-29 23:55:18 UTC;Compra Débito;-39031
43574;698;2022-12-29 23:10:35 UTC;Compra Crédito;-38952
42725;413;2021-07-18 19:14:52 UTC;Compra Débito;-38929
27945;371;2022-04-07 02:41:40 UTC;Compra Débito;-38887
17588;316;2021-05-13 00:06:42 UTC;Pix - Realizado;-38835
21344;374;2018-04-18 03:04:42 UTC;Compra Débito;-38833
3310;402;2021-09-21 23:30:53 UTC;Compra Débito;-38814
48198;904;2022-10-12 18:56:49 UTC;DOC - Realizado;-38800
13045;957;2021-02-15 19:13:32 UTC;Compra Crédito;-38653
37891;545;2022-12-23 00:01:39 UTC;Compra Débito;-38576
33581;898;2015-12-19 00:53:14 UTC;TED - Realizado;-38520
3034;590;2018-10-13 15:28:44 UTC;Compra Débito;-38432
21393;74;2018-05-19 00:19:08 UTC;Compra Crédito;-38355
7578;627;2021-12-14 00:13:33 UTC;Compra Crédito;-38337
15234;846;2020-04-14 06:11:23 UTC;Compra Débito;-38242
54867;144;2022-12-29 19:07:37 UTC;Compra Débito;-38242
63933;510;2022-12-29 23:59:59.726351 UTC;Compra Crédito;-38203
30059;266;2020-03-19 04:58:00 UTC;Compra Crédito;-38194
65566;413;2022-12-22 06:18:06 UTC;Compra Débito;-38089
54401;361;2022-07-19 15:26:17 UTC;TED - Realizado;-38080
57785;935;2022-12-30 00:00:00.480656 UTC;Compra Crédito;-38048
51658;22;2022-12-30 00:00:00 UTC;Compra Débito;-38029
25858;558;2022-10-24 05:14:37 UTC;Compra Crédito;-37964
19922;892;2015-10-30 08:18:27 UTC;Compra Débito;-37959
37121;269;2018-12-10 22:47:43 UTC;Compra Crédito;-37916
35779;1;2018-02-24 05:29:33 UTC;Compra Débito;-37882
53632;379;2022-12-29 23:59:59.949299 UTC;Compra Crédito;-37866
60707;966;2022-07-30 22:32:26 UTC;Compra Débito;-37776
63422;785;2022-12-29 23:55:26 UTC;Compra Crédito;-37724
70172;355;2022-12-29 23:59:59.934726 UTC;Compra Crédito;-37704
45675;825;2022-12-30 00:00:00.550981 UTC;Compra Débito;-37683
52042;166;2019-07-30 15:42:48 UTC;Compra Débito;-37665
67833;149;2022-12-29 23:59:59 UTC;Compra Crédito;-37618
41895;875;2022-01-08 17:26:35 UTC;Compra Débito;-37571
40074;509;2014-04-16 05:16:17 UTC;DOC - Realizado;-37260
63711;813;2022-12-30 00:00:00.851481 UTC;Compra Crédito;-37211
55171;129;2019-06-09 22:46:07 UTC;Compra Débito;-37157
2057;646;2018-08-23 21:30:55 UTC;Compra Débito;-37157
69495;869;2022-12-29 23:59:59.30377 UTC;Compra Débito;-37136
67012;565;2022-12-29 23:59:59.739409 UTC;DOC - Realizado;-37110
5906;631;2011-01-27 13:12:36 UTC;TED - Realizado;-37080
3704;796;2020-03-09 07:56:07 UTC;TED - Realizado;-37070
43182;363;2022-12-29 23:52:31 UTC;Compra Crédito;-37015
58436;591;2022-12-30 00:00:00 UTC;Compra Débito;-36982
41631;890;2022-02-01 01:06:10 UTC;Pagamento de boleto;-36898
22693;913;2022-07-11 05:32:34 UTC;Compra Crédito;-36861
10630;272;2022-08-15 02:10:33 UTC;Compra Débito;-36844
42818;658;2018-12-20 14:00:48 UTC;Compra Débito;-36695
58370;819;2022-12-30 00:00:00.272795 UTC;DOC - Realizado;-36640
55931;977;2021-06-15 14:38:03 UTC;Compra Débito;-36601
71128;671;2022-12-30 00:00:00.918448 UTC;Compra Crédito;-36599
57947;825;2022-12-30 00:00:00.445034 UTC;Pix - Realizado;-36599
32138;463;2019-12-10 06:20:02 UTC;DOC - Realizado;-36580
8281;493;2021-01-24 11:23:38 UTC;Compra Crédito;-36553
45433;73;2015-05-01 09:25:44 UTC;Compra Crédito;-36537
4266;166;2014-12-09 16:53:52 UTC;Compra Débito;-36523
15502;555;2013-08-26 12:10:17 UTC;Compra Crédito;-36521
12217;782;2019-02-24 04:12:42 UTC;Compra Crédito;-36508
27447;132;2022-12-29 23:59:56 UTC;Pix - Realizado;-36506
5776;794;2019-11-27 13:30:35 UTC;Compra Débito;-36484
11839;573;2022-06-10 19:58:04 UTC;Pix - Realizado;-36477
53577;99;2022-12-29 23:59:42 UTC;Compra Crédito;-36394
20003;506;2019-04-23 18:45:28 UTC;Compra Crédito;-36389
61067;322;2018-12-30 23:10:18 UTC;Compra Crédito;-36334
41556;485;2019-05-08 07:09:14 UTC;Compra Crédito;-36313
26397;555;2013-11-20 19:04:10 UTC;Compra Crédito;-36282
55094;838;2019-04-10 16:16:05 UTC;Compra Débito;-36214
48661;359;2021-11-26 08:12:49 UTC;DOC - Realizado;-36190
45644;407;2020-02-19 12:53:28 UTC;Compra Crédito;-36175
63005;377;2022-12-29 23:55:03 UTC;Compra Crédito;-36112
29457;203;2019-11-11 14:33:40 UTC;Compra Débito;-36103
29532;285;2022-12-27 16:38:03 UTC;Pix - Realizado;-36102
50824;184;2022-12-29 22:18:20 UTC;Pix - Realizado;-36098
5658;132;2022-09-08 14:41:56 UTC;Compra Crédito;-36087
22726;911;2015-10-13 08:31:38 UTC;Compra Débito;-36056
49531;1;2019-03-05 00:13:53 UTC;Compra Débito;-36026
24323;520;2021-11-15 20:20:42 UTC;Compra Crédito;-35972
49909;374;2020-03-17 08:47:02 UTC;DOC - Realizado;-35910
11172;432;2011-08-12 01:50:58 UTC;Compra Crédito;-35821
32612;808;2019-05-16 02:14:56 UTC;Compra Débito;-35792
38942;157;2020-09-07 14:23:48 UTC;TED - Realizado;-35790
47088;644;2022-12-30 00:00:00.823212 UTC;Compra Crédito;-35741
52357;205;2022-04-19 13:39:25 UTC;Compra Crédito;-35733
70408;601;2022-12-29 23:59:58 UTC;Compra Débito;-35729
63891;434;2022-07-26 07:36:22 UTC;Compra Crédito;-35694
23941;359;2020-09-25 11:33:48 UTC;Compra Crédito;-35583
38969;488;2022-12-30 00:00:00.306617 UTC;Compra Débito;-35516
57177;244;2019-04-03 10:33:41 UTC;Compra Crédito;-35501
21933;575;2016-01-25 09:51:56 UTC;Compra Crédito;-35489
9001;509;2012-05-07 15:20:51 UTC;Compra Crédito;-35427
40999;374;2020-02-14 07:28:04 UTC;Compra Crédito;-35404
24567;411;2022-12-29 23:59:59.211363 UTC;Compra Débito;-35388
36719;673;2018-03-28 20:24:18 UTC;Compra Crédito;-35315
16971;906;2022-09-16 16:39:14 UTC;Compra Crédito;-35305
56863;102;2022-12-29 23:59:59.519203 UTC;Pix - Realizado;-35187
56458;132;2022-12-30 00:00:00.355544 UTC;Pix - Realizado;-35145
40160;145;2014-10-14 21:16:03 UTC;Compra Crédito;-35112
48293;637;2020-03-04 03:06:57 UTC;Compra Crédito;-35081
53038;102;2022-12-29 23:59:50 UTC;Compra Crédito;-35071
30782;781;2015-12-03 06:24:22 UTC;Compra Crédito;-35057
13377;846;2018-10-30 03:46:30 UTC;Compra Crédito;-35021
22995;357;2022-02-26 06:32:58 UTC;Compra Crédito;-35019
70440;326;2022-09-02 11:18:09 UTC;TED - Realizado;-35000
56588;482;2022-03-12 21:33:05 UTC;Compra Crédito;-34992
70342;628;2022-12-30 00:00:00.841654 UTC;Compra Crédito;-34983
9041;775;2011-06-24 03:57:19 UTC;Compra Débito;-34953
60630;243;2022-03-26 18:55:56 UTC;Compra Débito;-34937
20277;942;2018-10-07 23:08:26 UTC;DOC - Realizado;-34930
50927;826;2018-08-18 22:23:34 UTC;Compra Crédito;-34907
69314;445;2022-12-29 16:59:47 UTC;Compra Crédito;-34821
18737;577;2016-11-26 00:47:46 UTC;Compra Débito;-34794
58429;685;2022-12-14 05:46:35 UTC;Compra Crédito;-34787
6834;483;2022-12-28 19:36:03 UTC;Compra Crédito;-34772
39290;785;2022-12-12 18:59:37 UTC;Compra Crédito;-34736
61753;97;2022-12-30 00:00:00.002498 UTC;Compra Crédito;-34725
52093;396;2022-12-30 00:00:00.828793 UTC;Pagamento de boleto;-34688
35282;242;2012-02-05 02:32:19 UTC;Pagamento de boleto;-34638
60962;632;2022-12-29 23:59:59 UTC;Compra Crédito;-34609
18753;82;2019-10-31 16:58:25 UTC;Compra Crédito;-34564
47871;117;2022-12-29 23:59:59.174208 UTC;DOC - Realizado;-34550
55110;840;2022-12-29 23:31:25 UTC;Compra Crédito;-34535
26635;833;2018-02-06 13:48:17 UTC;TED - Realizado;-34530
70142;114;2022-12-30 00:00:00.852216 UTC;Compra Débito;-34495
65312;781;2019-03-05 20:22:59 UTC;TED - Realizado;-34440
71538;903;2022-03-13 19:41:29 UTC;Compra Crédito;-34435
23373;46;2011-10-10 17:29:09 UTC;Compra Crédito;-34424
70153;126;2022-05-07 03:21:25 UTC;Compra Débito;-34395
58033;948;2022-12-10 17:46:59 UTC;Pix - Realizado;-34363
54054;432;2022-08-16 06:56:23 UTC;Compra Débito;-34357
71600;880;2022-12-30 00:00:00.847649 UTC;Compra Débito;-34342
46454;410;2022-12-30 00:00:00.597885 UTC;Compra Débito;-34319
53745;881;2022-12-16 13:13:45 UTC;Pix - Realizado;-34281
55816;660;2022-12-30 00:00:00.883745 UTC;Pix - Realizado;-34251
33432;195;2012-03-10 10:31:14 UTC;Compra Crédito;-34195
61748;349;2022-01-01 23:01:41 UTC;DOC - Realizado;-34190
35681;960;2016-02-10 02:49:44 UTC;Pagamento de boleto;-34152
50201;215;2022-12-29 23:59:59.68228 UTC;Compra Crédito;-34138
11049;967;2016-10-05 13:39:00 UTC;Compra Débito;-34117
9744;356;2014-08-02 22:40:22 UTC;TED - Realizado;-34090
18224;681;2019-05-19 14:06:26 UTC;TED - Realizado;-34020
30800;782;2020-12-08 12:31:01 UTC;Compra Débito;-33933
56223;468;2022-12-29 23:49:58 UTC;Compra Débito;-33928
43610;591;2022-12-28 16:33:32 UTC;Compra Crédito;-33892
45662;277;2017-01-21 09:09:12 UTC;Compra Crédito;-33793
29125;571;2021-11-16 15:45:43 UTC;TED - Realizado;-33770
29162;276;2021-12-04 07:57:32 UTC;Compra Crédito;-33761
64526;332;2022-12-30 00:00:00.399256 UTC;Pix - Realizado;-33751
51762;604;2022-12-29 23:59:59.948437 UTC;Pix - Realizado;-33745
38769;373;2014-12-13 18:10:19 UTC;Compra Crédito;-33705
21051;429;2022-08-22 13:06:17 UTC;Compra Crédito;-33672
58534;500;2018-03-03 17:47:09 UTC;DOC - Realizado;-33660
71010;780;2022-02-20 06:25:13 UTC;TED - Realizado;-33650
30986;479;2022-12-29 23:57:59 UTC;Compra Débito;-33618
53958;228;2022-12-29 23:59:59.264915 UTC;Compra Crédito;-33584
67871;102;2022-12-29 23:59:59.35925 UTC;Pagamento de boleto;-33582
28472;734;2022-11-10 10:53:24 UTC;Compra Débito;-33557
2185;169;2015-12-08 18:31:13 UTC;Compra Crédito;-33484
14332;84;2022-02-12 12:13:21 UTC;Compra Débito;-33419
37970;984;2022-12-29 23:00:25 UTC;Compra Débito;-33419
58247;413;2022-11-14 22:06:00 UTC;Compra Crédito;-33415
47373;855;2022-06-26 13:01:16 UTC;Compra Crédito;-33401
68788;375;2022-12-29 23:59:58 UTC;Pix - Realizado;-33393
48322;630;2022-09-28 03:57:47 UTC;Compra Crédito;-33275
52841;554;2022-12-29 23:59:59.743724 UTC;Compra Crédito;-33202
60223;852;2016-08-26 23:35:29 UTC;Compra Crédito;-33138
17440;594;2020-07-26 21:18:02 UTC;Compra Débito;-33103
4746;485;2017-09-30 05:31:57 UTC;Compra Crédito;-33088
10893;912;2020-10-29 14:10:19 UTC;Compra Débito;-33082
67850;563;2022-12-30 00:00:00.29564 UTC;Pix - Realizado;-33081
68513;620;2014-01-25 20:37:17 UTC;Compra Débito;-33064
17888;637;2017-08-03 11:22:08 UTC;Compra Débito;-33045
39672;372;2017-04-05 02:22:24 UTC;TED - Realizado;-33040
